,TP9,AF7,AF8,TP10,Right AUX,timestamps
360,-143.555,51.270,-1000.000,-170.410,59.570,1730817200.978
361,-235.840,47.363,-714.844,-182.129,18.066,1730817200.983
362,19.531,41.016,503.418,84.961,29.785,1730817200.988
363,278.809,38.574,-811.035,267.578,95.703,1730817200.993
364,184.570,38.574,208.984,108.887,84.961,1730817200.998
365,-114.746,43.945,-1000.000,-156.250,14.160,1730817201.003
366,-240.723,44.922,-832.520,-205.566,-13.672,1730817201.007
367,-12.207,41.504,369.141,44.922,0.977,1730817201.012
368,273.926,37.109,-803.223,259.766,45.898,1730817201.017
369,223.633,38.086,329.590,147.461,71.777,1730817201.022
370,-68.848,43.945,-971.680,-115.723,27.344,1730817201.027
371,-234.375,42.480,-890.625,-200.684,53.711,1730817201.032
372,-53.223,37.109,291.016,17.090,105.469,1730817201.017
373,250.977,33.691,-821.777,265.625,47.363,1730817201.022
374,255.371,39.062,468.750,194.824,39.062,1730817201.027
375,-34.180,38.574,-815.430,-84.961,-12.695,1730817201.032
376,-234.375,39.062,-1000.000,-211.426,-18.066,1730817201.037
377,-84.473,41.992,35.645,-20.996,-5.371,1730817201.041
378,227.051,35.645,-859.863,248.047,-16.602,1730817201.046
379,272.461,35.156,658.691,217.285,59.082,1730817201.051
380,6.836,36.621,-605.957,-51.270,63.477,1730817201.056
381,-222.168,35.645,-1000.000,-208.008,53.223,1730817201.061
382,-121.094,33.691,-72.266,-51.758,37.109,1730817201.065
383,203.125,30.762,-863.770,240.234,22.461,1730817201.070
384,303.223,32.715,690.430,248.047,11.719,1730817201.056
385,60.059,40.527,-575.684,-16.113,30.273,1730817201.060
386,-194.336,45.410,-1000.000,-198.730,73.730,1730817201.065
387,-143.066,39.062,-177.734,-82.031,51.270,1730817201.070
388,169.434,31.250,-939.453,209.473,31.250,1730817201.075
389,315.430,34.668,858.398,266.602,-13.184,1730817201.079
390,99.609,36.133,-299.316,23.438,43.457,1730817201.084
391,-183.594,32.715,-1000.000,-197.266,103.516,1730817201.089
392,-178.223,30.762,-437.012,-118.164,61.035,1730817201.094
393,116.699,24.902,861.816,177.246,38.574,1730817201.098
394,293.457,23.438,-947.754,274.414,20.508,1730817201.103
395,111.816,34.668,-81.543,57.617,15.137,1730817201.108
396,-182.617,38.574,-1000.000,-195.312,32.227,1730817201.092
397,-223.145,30.273,-520.020,-166.992,-9.277,1730817201.097
398,68.848,27.344,784.180,137.207,-32.715,1730817201.102
399,292.969,25.391,-890.137,279.297,-15.137,1730817201.106
400,149.902,27.344,-9.766,79.590,5.371,1730817201.111
401,-149.902,33.691,-1000.000,-172.852,67.871,1730817201.116
402,-229.004,31.738,-654.297,-171.875,43.457,1730817201.120
403,35.156,28.320,598.145,107.422,16.602,1730817201.125
404,288.574,30.273,-833.496,282.715,17.578,1730817201.130
405,189.453,38.086,147.949,112.793,57.617,1730817201.134
406,-114.258,40.039,-1000.000,-154.297,70.801,1730817201.139
407,-239.746,35.645,-855.957,-193.848,22.461,1730817201.144
408,-2.441,34.180,301.270,67.383,5.859,1730817201.129
409,283.691,37.109,-815.430,279.297,-14.648,1730817201.134
